,Bachelor_s,total_popu,Per_capita,Median_num,Median_val,All_famili,Unemployme,vegetation,Median_fam,impervious,Bachelor_p
1147,36.4,2423,17812,3.9,547500,316,22.5,0,44866,91.115108,1.50227
1148,4.5,3253,24247,3.4,469700,840,4.8,0.32972973,51920,90.010811,0.1383338
1149,62.3,3581,33847,3.8,774600,728,10.2,0.04562738,57266,89.593156,1.739738
1150,45.1,3673,21622,3.8,707800,553,0,0,52236,93.069652,1.227879
1151,18.1,3090,29846,5.2,616700,745,7,0.66477273,56071,86.693182,0.5857605
1152,22.9,2951,40289,5.3,564400,712,0,0.96842105,77452,84.4,0.7760081
1153,49.4,1425,32798,5.4,501500,377,0,0.36296296,75357,85.925926,3.466667
1154,55,1452,38690,3.9,778800,224,1.9,0,67794,92.624113,3.787879
1155,38,3609,11990,4.3,200700,900,1.2,0.73539519,64861,79.381443,1.052923
1156,39.6,2299,39041,4.1,730400,450,0,0,64833,94.678947,1.722488
1157,16,3141,18667,3.9,641300,784,0,0.06217617,71818,87.725389,0.5093919
1158,51.6,813,18752,3.7,538500,157,4.1,0,41053,91.599757,6.346863
1159,16.3,3833,32119,4.2,760600,880,7.1,0.29545455,50792,87.926136,0.4252544
1160,17.9,3722,26971,3.7,358200,919,17.5,0,55260,91.062147,0.4809242
1161,4.8,1881,28269,4.1,609900,495,16.1,2.08522727,62308,81.892045,0.2551834
1162,19.8,7638,33084,4,624800,1866,8.6,0.72162741,66613,85.616702,0.2592302
1163,5,1990,24526,5.1,441000,537,8.8,0.0944206,62319,91.828326,0.2512563
1164,0,2363,34207,5.4,395400,551,7.5,0.02659574,68563,85.840426,0
1165,18,1642,28349,5.4,398000,396,17.2,3.96202532,90301,78.556962,1.096224
1166,0,8,19370,0,0,0,0,24.97995546,0,25.300668,0
1167,3.3,1804,20702,4.8,401900,472,10.8,5.02068966,80446,76.613793,0.1829268
1168,8.4,5671,19223,4.1,445100,1504,12.3,0,24716,85.296703,0.148122
1169,0,3366,25164,4.7,346900,828,6.6,0.53992395,30189,78.908745,0
1170,8,3958,7191,5.2,345400,613,10.4,0.6492891,26728,83.781991,0.2021223
1171,1.8,4394,12023,4.3,0,1199,31.1,3.88479263,17160,78.764977,0.04096495
1172,2.3,4936,13706,4.1,0,812,17.4,1.30699088,19182,82.869301,0.04659643
1173,0,6469,16118,4,0,1522,10.8,5.12288136,11994,71.745763,0
1174,13.4,2994,16558,4.7,344900,812,13.4,2.15879828,56286,72.180258,0.4475618
1175,0,2927,30979,4.1,301300,700,0,1.62011173,53429,83.195531,0
1176,11.1,2493,26978,4.6,463400,711,7.4,0.32568807,73906,88.798165,0.4452467
1177,1.8,2492,25123,4.6,425200,693,9.1,0.22727273,79667,84.560606,0.07223114
1178,16.9,1931,14541,5.1,415700,441,6.3,0.16393443,75688,82.939891,0.8751942
1179,32,1795,39499,4.3,733900,431,17.5,0,78882,92.168776,1.78273
1180,18.3,4379,26525,3.9,488300,1154,11.8,0.62857143,76285,87.673469,0.4179036
1181,43.4,2552,48683,3.6,280600,686,18.5,1.08374384,50729,89.039409,1.700627
1182,14.4,1454,33426,4.1,248200,380,6.7,1.37209302,83611,84.395349,0.9903714
1183,20.4,1873,35250,5.9,435400,530,6.8,0.23699422,103102,86.271676,1.089162
1184,37,3825,30653,4,640900,735,11.9,10.0657277,54722,77.389671,0.9673203
1185,11.5,1827,22678,5.4,390700,510,10.8,0.02604167,92889,89.088542,0.6294472
1186,9.9,2683,25884,5.7,462700,682,9.2,0.36893204,93922,83.849515,0.3689899
1187,8.5,3505,26247,5.5,471700,758,13.3,0.79792746,70516,84.61658,0.2425107
1188,14,2409,31390,5.9,364200,546,17.8,1.02777778,79306,79.611111,0.581154
1189,15.9,3942,18789,4.3,824100,993,8.5,0,61620,83.670103,0.4033486
1190,8.1,1555,23361,4.9,406500,395,10.1,0.09677419,92882,88.763441,0.5209003
1191,10.6,2538,15661,4.6,393400,655,14.6,0.40718563,54779,81.952096,0.4176517
1192,24.3,3202,20710,4.3,405200,834,7.6,0.09803922,46944,89.333333,0.7589007
1193,0,6425,19340,4.3,0,1748,34.3,7.49462366,18874,63.327957,0
1194,2.5,4040,23793,4,0,1182,5.4,6.56167979,24741,59.52231,0.06188119
1195,5.1,1960,25172,4.9,421600,533,13,0.23129252,71382,85.952381,0.2602041
1196,24.5,1523,17350,4.9,488600,380,9,12.23510293,88365,38.599133,1.608667
1197,10.6,2804,19630,4.3,454000,539,18,1.49152542,36083,82.299435,0.3780314
1198,8,2086,15156,4.9,365600,487,5.2,0.58860759,42415,78.639241,0.3835091
